GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0010411,GO:0010411,23/6228,144/100553,0.1597222222222222,2.5787650306857914,4.871566945593063,2.770834030273986e-5,3.1489374239884575e-4,2.260417235223515e-4,TraesCS2B03G1154300.1/TraesCS4A03G0148100.1/TraesCS4A03G0148100.2/TraesCS4A03G0999900.1/TraesCS4D03G0288900.1/TraesCS4D03G0288900.2/TraesCS5D03G0098000.1/TraesCS5D03G0491600.1/TraesCS7A03G0245100.1/TraesCS7A03G1036000.1/TraesCS7A03G1036300.1/TraesCS7A03G1036400.1/TraesCS7A03G1036900.1/TraesCS7A03G1037100.1/TraesCS7B03G0876600.1/TraesCS7B03G0876800.1/TraesCS7B03G0877500.1/TraesCS7D03G0221200.1/TraesCS7D03G0221300.1/TraesCS7D03G0991300.1/TraesCS7D03G0991500.1/TraesCS7D03G0992500.1/TraesCSU03G0234700.1,23,Down,xyloglucan metabolic process,biological_process,BP,SN15_vs_Tween
GO:0016762,GO:0016762,23/6228,146/100553,0.15753424657534246,2.543439482320233,4.795570605505125,3.467670567521606e-5,3.900235658934095e-4,2.799725341547559e-4,TraesCS2B03G1154300.1/TraesCS4A03G0148100.1/TraesCS4A03G0148100.2/TraesCS4A03G0999900.1/TraesCS4D03G0288900.1/TraesCS4D03G0288900.2/TraesCS5D03G0098000.1/TraesCS5D03G0491600.1/TraesCS7A03G0245100.1/TraesCS7A03G1036000.1/TraesCS7A03G1036300.1/TraesCS7A03G1036400.1/TraesCS7A03G1036900.1/TraesCS7A03G1037100.1/TraesCS7B03G0876600.1/TraesCS7B03G0876800.1/TraesCS7B03G0877500.1/TraesCS7D03G0221200.1/TraesCS7D03G0221300.1/TraesCS7D03G0991300.1/TraesCS7D03G0991500.1/TraesCS7D03G0992500.1/TraesCSU03G0234700.1,23,Down,xyloglucan:xyloglucosyl transferase activity,molecular_function,MF,SN15_vs_Tween
GO:0004311,GO:0004311,6/6228,12/100553,0.5,8.072655748233784,6.295899608030672,3.7568739431945744e-5,4.18239742043396e-4,3.0022709062693485e-4,TraesCS5A03G0051400.1/TraesCS5B03G0040800.1/TraesCS5D03G0063200.1/TraesCS7A03G1357000.2/TraesCS7A03G1357000.1/TraesCS7B03G1296800.1,6,Down,farnesyltranstransferase activity,molecular_function,MF,SN15_vs_Tween
GO:0003913,GO:0003913,5/6228,8/100553,0.625,10.090819685292228,6.607300357403999,4.3493011082131766e-5,4.611757478093224e-4,3.3104805477363687e-4,TraesCS7A03G1187500.1/TraesCS7A03G1187500.2/TraesCS7B03G1058100.2/TraesCS7B03G1058100.3/TraesCS7B03G1058100.1,5,Down,DNA photolyase activity,molecular_function,MF,SN15_vs_Tween
GO:0030388,GO:0030388,5/6228,8/100553,0.625,10.090819685292228,6.607300357403999,4.3493011082131766e-5,4.611757478093224e-4,3.3104805477363687e-4,TraesCS3A03G0892000.1/TraesCS3B03G1018200.1/TraesCS3D03G0819500.1/TraesCS4B03G0583700.1/TraesCS4D03G0517700.1,5,Down,"fructose 1,6-bisphosphate metabolic process",biological_process,BP,SN15_vs_Tween
GO:0043043,GO:0043043,5/6228,8/100553,0.625,10.090819685292228,6.607300357403999,4.3493011082131766e-5,4.611757478093224e-4,3.3104805477363687e-4,TraesCS4A03G0519500.2/TraesCS4A03G0519500.1/TraesCS4B03G0279600.1/TraesCS4D03G0238600.2/TraesCS4D03G0238600.1,5,Down,peptide biosynthetic process,biological_process,BP,SN15_vs_Tween
GO:0050665,GO:0050665,5/6228,8/100553,0.625,10.090819685292228,6.607300357403999,4.3493011082131766e-5,4.611757478093224e-4,3.3104805477363687e-4,TraesCS2B03G0469600.2/TraesCS2B03G0469600.3/TraesCS2B03G0469600.4/TraesCS2A03G0349500.1/TraesCS5D03G0628800.1,5,Down,hydrogen peroxide biosynthetic process,biological_process,BP,SN15_vs_Tween
GO:0006783,GO:0006783,14/6228,66/100553,0.21212121212121213,3.4247630447052413,5.063404036127189,4.353904860161339e-5,4.611757478093224e-4,3.3104805477363687e-4,TraesCS1A03G0139500.2/TraesCS1A03G0465800.2/TraesCS1B03G0190500.1/TraesCS1D03G0127000.1/TraesCS1D03G0127000.2/TraesCS5D03G0137500.1/TraesCS6A03G0252200.1/TraesCS6B03G0344800.1/TraesCS6B03G0344800.2/TraesCS6B03G0715400.2/TraesCS6B03G0715400.1/TraesCS6D03G0207700.1/TraesCS6D03G0485500.2/TraesCS6D03G0485500.1,14,Down,heme biosynthetic process,biological_process,BP,SN15_vs_Tween
GO:0044183,GO:0044183,11/6228,43/100553,0.2558139534883721,4.130195964212633,5.275423991498536,4.597730395552788e-5,4.8231960207193185e-4,3.462258516489144e-4,TraesCS1D03G0542400.1/TraesCS2B03G0544400.1/TraesCS2D03G0431500.1/TraesCS5B03G0559100.1/TraesCS5B03G0559100.2/TraesCS5D03G0513300.1/TraesCS6A03G0877100.3/TraesCS6A03G0877100.1/TraesCS6A03G0877100.2/TraesCS6B03G1050700.1/TraesCS6D03G0748600.1,11,Down,protein folding chaperone,molecular_function,MF,SN15_vs_Tween
GO:0080120,GO:0080120,10/6228,36/100553,0.2777777777777778,4.484808749018769,5.373616777986632,4.707039294173748e-5,4.890837971374819e-4,3.510814270541623e-4,TraesCS4B03G0971500.1/TraesCS5A03G0583000.2/TraesCS5A03G0583000.1/TraesCS5A03G1275400.1/TraesCS7A03G0363900.1/TraesCS7A03G0363900.2/TraesCS7A03G0905500.1/TraesCS7B03G0705800.2/TraesCS7B03G0705800.1/TraesCS7D03G0776900.1,10,Down,CAAX-box protein maturation,biological_process,BP,SN15_vs_Tween
