GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0015112,GO:0015112,7/410,49/100553,0.14285714285714285,35.03588850174216,15.248265497375355,1.3195474852642903e-9,1.9793212278964354e-8,1.2180438325516526e-8,TraesCS6A03G0073200.1/TraesCS6A03G0074200.1/TraesCS6A03G0074300.1/TraesCS6D03G0074700.1/TraesCS6D03G0074900.1/TraesCS6D03G0075600.1/TraesCS6D03G0075700.1,7,Down,nitrate transmembrane transporter activity,molecular_function,MF,3KO_vs_SN15
GO:0015706,GO:0015706,7/410,70/100553,0.1,24.525121951219514,12.598289771369238,1.7108224020189466e-8,2.3829312028121043e-7,1.466419201730526e-7,TraesCS6A03G0073200.1/TraesCS6A03G0074200.1/TraesCS6A03G0074300.1/TraesCS6D03G0074700.1/TraesCS6D03G0074900.1/TraesCS6D03G0075600.1/TraesCS6D03G0075700.1,7,Down,nitrate transmembrane transport,biological_process,BP,3KO_vs_SN15
GO:0003725,GO:0003725,6/410,59/100553,0.1016949152542373,24.94080198429103,11.76986875713653,1.6631331000184929e-7,2.1620730300240407e-6,1.3305064800147943e-6,TraesCS3B03G0868800.1/TraesCS3B03G0868800.3/TraesCS3B03G0868800.6/TraesCS3B03G0868800.5/TraesCS3B03G0868800.2/TraesCS3B03G0868800.4,6,Down,double-stranded RNA binding,molecular_function,MF,3KO_vs_SN15
GO:0016226,GO:0016226,7/410,105/100553,0.06666666666666667,16.350081300813006,10.069587238364969,2.8738116656942665e-7,3.502457967564887e-6,2.1553587492706998e-6,TraesCS3A03G0719400.7/TraesCS3A03G0719400.5/TraesCS3A03G0719400.6/TraesCS3A03G0719400.4/TraesCS3A03G0719400.2/TraesCS3A03G0719400.3/TraesCS3A03G0719400.1,7,Down,iron-sulfur cluster assembly,biological_process,BP,3KO_vs_SN15
GO:0004519,GO:0004519,9/410,240/100553,0.0375,9.196920731707316,8.134947096370809,7.796891880282985e-7,8.943493627383424e-6,5.5036883860821075e-6,TraesCS7A03G0676500.6/TraesCS7A03G0676500.3/TraesCS7A03G0676500.2/TraesCS7A03G0676500.5/TraesCS7A03G0676500.4/TraesCS7A03G0676500.1/TraesCS7D03G0653300.3/TraesCS7D03G0653300.2/TraesCS7D03G0653300.1,9,Down,endonuclease activity,molecular_function,MF,3KO_vs_SN15
GO:0032300,GO:0032300,4/410,23/100553,0.17391304347826086,42.652386002120885,12.783004664788738,2.268447530711851e-6,2.423559696059344e-5,1.4914213514211347e-5,TraesCS6A03G0559000.1/TraesCS6A03G0559000.4/TraesCS6A03G0559000.2/TraesCS6A03G0559000.3,4,Down,mismatch repair complex,cellular_component,CC,3KO_vs_SN15
GO:0051536,GO:0051536,11/410,437/100553,0.02517162471395881,6.173371658201708,6.934891000393456,2.36141713975013e-6,2.423559696059344e-5,1.4914213514211347e-5,TraesCS2A03G0267400.1/TraesCS2A03G0267400.2/TraesCS3A03G0719400.7/TraesCS3A03G0719400.5/TraesCS3A03G0719400.6/TraesCS3A03G0719400.4/TraesCS3A03G0719400.2/TraesCS3A03G0719400.3/TraesCS3A03G0719400.1/TraesCS7B03G1123600.1/TraesCS7B03G1123600.2,11,Down,iron-sulfur cluster binding,molecular_function,MF,3KO_vs_SN15
GO:0032968,GO:0032968,4/410,26/100553,0.15384615384615385,37.73095684803002,11.985455424530409,3.7929461504228884e-6,3.698122496662316e-5,2.275767690253733e-5,TraesCS1D03G0338300.1/TraesCS1D03G0338300.2/TraesCS1D03G0338300.4/TraesCS1D03G0338300.3,4,Down,positive regulation of transcription elongation by RNA polymerase II,biological_process,BP,3KO_vs_SN15
GO:0008017,GO:0008017,11/410,494/100553,0.022267206477732792,5.4610595437938185,6.359901677340721,7.513929170447287e-6,6.977219943986767e-5,4.293673811684163e-5,TraesCS2D03G0480100.3/TraesCS2D03G0480100.7/TraesCS2D03G0480100.4/TraesCS2D03G0480100.2/TraesCS2D03G0480100.5/TraesCS2D03G0480100.1/TraesCS2D03G0480100.8/TraesCS2D03G0480100.6/TraesCS4A03G0462800.1/TraesCS4A03G0462800.2/TraesCS5A03G0172400.1,11,Down,microtubule binding,molecular_function,MF,3KO_vs_SN15
GO:0141052,GO:0141052,3/410,10/100553,0.3,73.57536585365852,14.685552839797237,7.905672021370251e-6,7.007300200759996e-5,4.312184738929228e-5,TraesCS6D03G0598200.2/TraesCS6D03G0598200.1/TraesCS6D03G0598200.3,3,Down,histone H3 demethylase activity,molecular_function,MF,3KO_vs_SN15
