GO_ID,GO_Description,GO_Category,Ontology,Suggested_Category,Final_Category,Notes,Final_Category_Split,Final_Category_Full_Split
GO:0008652,amino acid biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0009063,amino acid catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0006520,amino acid metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0003333,amino acid transmembrane transport,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0015171,amino acid transmembrane transporter activity,molecular_function,MF,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0006865,amino acid transport,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004047,aminomethyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016841,ammonia-lyase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0072488,ammonium transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009501,amyloplast,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004048,anthranilate phosphoribosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004049,anthranilate synthase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016209,antioxidant activity,molecular_function,MF,Defense,Defense,NA,Stress Response,Stress Response
GO:0015297,antiporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004059,aralkylamine N-acetyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004053,arginase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006525,arginine metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
