GO_ID,GO_Description,GO_Category,Ontology,Suggested_Category,Final_Category,Notes,Final_Category_Split,Final_Category_Full_Split
GO:0015749,monosaccharide transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015145,monosaccharide transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0045910,negative regulation of DNA recombination,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:1900366,negative regulation of defense response to insect,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0048579,"negative regulation of long-day photoperiodism, flowering",biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0045841,negative regulation of mitotic metaphase/anaphase transition,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:1901001,negative regulation of response to salt stress,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0033855,nicotianamine aminotransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015706,nitrate transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015112,nitrate transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006857,oligopeptide transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0043226,organelle,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006996,organelle organization,biological_process,BP,REVIEW,Growth,NA,Growth,Growth
GO:0015605,organophosphate ester transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0018131,oxazole or thiazole biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016709,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016636,"oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016639,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0010242,oxygen evolving activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004729,oxygen-dependent protoporphyrinogen oxidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0031408,oxylipin biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016763,pentosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0030414,peptidase inhibitor activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0003755,peptidyl-prolyl cis-trans isomerase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0051920,peroxiredoxin activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0005778,peroxisomal membrane,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046189,phenol-containing compound biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0009699,phenylpropanoid biosynthetic process,biological_process,BP,Defense,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0009698,phenylpropanoid metabolic process,biological_process,BP,Defense,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0006796,phosphate-containing compound metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0006656,phosphatidylcholine biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004612,phosphoenolpyruvate carboxykinase (ATP) activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004611,phosphoenolpyruvate carboxykinase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004617,phosphoglycerate dehydrogenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0042578,phosphoric ester hydrolase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009522,photosystem I,cellular_component,CC,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0048564,photosystem I assembly,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0009523,photosystem II,cellular_component,CC,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0010207,photosystem II assembly,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0010206,photosystem II repair,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0046148,pigment biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0009505,plant-type cell wall,cellular_component,CC,REVIEW,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0009832,plant-type cell wall biogenesis,biological_process,BP,REVIEW,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0009828,plant-type cell wall loosening,biological_process,BP,REVIEW,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0071669,plant-type cell wall organization or biogenesis,biological_process,BP,REVIEW,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0009834,plant-type secondary cell wall biogenesis,biological_process,BP,REVIEW,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0042793,plastid transcription,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0010287,plastoglobule,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008266,poly(U) RNA binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006596,polyamine biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:1902047,polyamine transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015203,polyamine transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004654,polyribonucleotide nucleotidyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0000272,polysaccharide catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0006779,porphyrin-containing compound biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0046622,positive regulation of organ growth,biological_process,BP,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:1901671,positive regulation of superoxide dismutase activity,biological_process,BP,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0009791,post-embryonic development,biological_process,BP,Growth,Growth,NA,Growth,Growth
GO:0010608,post-transcriptional regulation of gene expression,biological_process,BP,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:0015079,potassium ion transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004659,prenyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:1901162,primary amino compound biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0044238,primary metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0006562,proline catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004657,proline dehydrogenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019904,protein domain specific binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0044183,protein folding chaperone,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0045038,protein import into chloroplast thylakoid membrane,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0004864,protein phosphatase inhibitor activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0043953,protein transport by the Tat complex,biological_process,BP,REVIEW,Growth,NA,Growth,Growth
GO:0015035,protein-disulfide reductase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006782,protoporphyrinogen IX biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0009982,pseudouridine synthase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0001522,pseudouridine synthesis,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:1904823,purine nucleobase transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0005345,purine nucleobase transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006863,purine nucleobase transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006152,purine nucleoside catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0015860,purine nucleoside transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015211,purine nucleoside transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0017076,purine nucleotide binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006166,purine ribonucleoside salvage,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0030170,pyridoxal phosphate binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0080043,quercetin 3-O-glucosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0080044,quercetin 7-O-glucosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0048038,quinone binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0030598,rRNA N-glycosylase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019843,rRNA binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0031167,rRNA methylation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008649,rRNA methyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006364,rRNA processing,biological_process,BP,Growth,Growth,NA,Growth,Growth
GO:0016854,racemase and epimerase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016855,"racemase and epimerase activity, acting on amino acids and derivatives",molecular_function,MF,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0019253,reductive pentose-phosphate cycle,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:2000142,regulation of DNA-templated transcription initiation,biological_process,BP,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:0010115,regulation of abscisic acid biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0080143,regulation of amino acid export,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0080036,regulation of cytokinin-activated signaling pathway,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0031347,regulation of defense response,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:1900150,regulation of defense response to fungus,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:2000022,regulation of jasmonic acid mediated signaling pathway,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0010075,regulation of meristem growth,biological_process,BP,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:0051513,regulation of monopolar cell growth,biological_process,BP,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:0044375,regulation of peroxisome size,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0042548,"regulation of photosynthesis, light reaction",biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0090333,regulation of stomatal closure,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0010112,regulation of systemic acquired resistance,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019430,removal of superoxide radicals,biological_process,BP,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0033591,response to L-ascorbic acid,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046686,response to cadmium ion,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009739,response to gibberellin,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:1990641,response to iron ion starvation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009753,response to jasmonic acid,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0009416,response to light stimulus,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0010167,response to nitrate,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006950,response to stress,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0009744,response to sucrose,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009611,response to wounding,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0033897,ribonuclease T2 activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0022613,ribonucleoprotein complex biogenesis,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0042454,ribonucleoside catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0110102,ribulose bisphosphate carboxylase complex assembly,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046863,"ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016984,ribulose-bisphosphate carboxylase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008430,selenium binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004867,serine-type endopeptidase inhibitor activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0070008,serine-type exopeptidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008236,serine-type peptidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019953,sexual reproduction,biological_process,BP,Growth,Growth,NA,Growth,Growth
GO:0004765,shikimate kinase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019632,shikimate metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0098552,side of membrane,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019290,siderophore biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016987,sigma factor activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0048500,signal recognition particle,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0038023,signaling receptor activity,molecular_function,MF,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0003697,single-stranded DNA binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0000014,single-stranded DNA endodeoxyribonuclease activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0036094,small molecule binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0044281,small molecule metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0005452,solute:inorganic anion antiporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0051996,squalene synthase [NAD(P)H] activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:2001070,starch binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019252,starch biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0006694,steroid biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016126,sterol biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0005985,sucrose metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0051119,sugar transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0044272,sulfur compound biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004784,superoxide dismutase activity,molecular_function,MF,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0006801,superoxide metabolic process,biological_process,BP,Metabolism,Defense,NA,Stress Response,Stress Response
GO:0015293,symporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0010333,terpene synthase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016114,terpenoid biosynthetic process,biological_process,BP,Metabolism,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0033014,tetrapyrrole biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0009228,thiamine biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0052837,thiazole biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0008379,thioredoxin peroxidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009579,thylakoid,cellular_component,CC,Metabolism,Metabolism,NA,Metabolism,Photosynthesis
GO:0009407,toxin catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016710,trans-cinnamate 4-monooxygenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008483,transaminase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0031564,transcription antitermination,biological_process,BP,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:0000976,transcription cis-regulatory region binding,molecular_function,MF,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046914,transition metal ion binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0000041,transition metal ion transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0003747,translation release factor activity,molecular_function,MF,Growth,Growth,NA,Growth,Growth
GO:0006415,translational termination,biological_process,BP,Growth,Growth,NA,Growth,Growth
GO:0005992,trehalose biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004805,trehalose-phosphatase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004806,triacylglycerol lipase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0042937,tripeptide transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0042939,tripeptide transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006568,tryptophan metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004834,tryptophan synthase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006437,tyrosyl-tRNA aminoacylation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004845,uracil phosphoribosyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006223,uracil salvage,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046422,violaxanthin de-epoxidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,biological_process,BP,Defense,Defense,NA,Stress Response,Stress Response
GO:0042910,xenobiotic transmembrane transporter activity,molecular_function,MF,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0042908,xenobiotic transport,biological_process,BP,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0045493,xylan catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0010411,xyloglucan metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016762,xyloglucan:xyloglucosyl transferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0071577,zinc ion transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0005385,zinc ion transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
